0,0,1272690000,0,1,576,
1,4,1293793200,0,2,380,
2,4,1301122800,1,2,164,
3,4,1304128800,2,22,150,
4,4,1315573200,3,2,399,
5,4,1335675600,0,2,410,
6,4,1388575800,1,3,47,
7,4,1398920400,4,4,94,
8,4,1398920400,0,4,144,
9,4,1427459400,5,11,253,
10,0,1433548800,6,5,36,
11,1,1473555600,7,7,56,
12,1,1474079400,8,2,56,
13,10,1474682400,9,10,2,
14,10,1474682400,10,22,6,
15,10,1478311200,10,5,2,
16,10,1480816800,11,2,1,
17,6,1481110200,12,2,22,
18,6,1481644800,13,49,36,
19,10,1481763600,14,2,0,
20,6,1482492600,15,2,2,
21,6,1483011000,16,1,0,
22,6,1486051200,13,105,66,
23,6,1492774200,17,3,82,
24,4,1493470800,18,25,70,
25,4,1494000000,13,118,89,
26,3,1298181600,19,7,162,
27,3,1302940800,20,13,156,
28,3,1303628400,20,12,513,
29,3,1304233200,20,14,541,
30,3,1304319600,20,16,575,
31,3,1304838000,20,17,595,
32,0,1321083000,21,2,274,
33,1,1321977600,21,6,481,
34,3,1324101600,21,10,570,
35,3,1393657200,20,19,216,
36,4,1221796800,22,12,477,
37,1,1277506800,23,2,565,
38,6,1292931000,24,5,411,
39,1,1327579200,21,8,337,
40,9,1378620000,5,11,114,
41,6,1385465400,25,19,135,
42,6,1387884600,24,14,232,
43,4,1388579400,5,26,128,
44,4,1390131000,25,21,24,
45,9,1393653600,26,19,255,
46,9,1393671600,27,18,161,
47,9,1395360000,26,15,222,
48,6,1399701600,28,4,88,
49,9,1402120800,26,26,151,
50,9,1404212400,27,15,297,
51,3,1406962800,19,19,127,
52,9,1429113600,29,5,289,
53,4,1433595600,30,24,58,
54,4,1435924800,31,5,20,
55,2,1436457600,32,6,40,
56,9,1460044800,29,7,315,
57,9,1470009600,27,12,171,
58,6,1477567800,33,2,10,
59,1,1477800000,34,6,38,
60,4,1267884000,35,22,15,
61,3,1268031600,36,8,5,
62,4,1269003600,37,26,75,
63,4,1269007200,35,18,9,
64,4,1269093600,35,19,10,
65,0,1269525600,38,4,2,
66,4,1269608400,36,9,4,
67,4,1269777600,39,2,1,
68,4,1270812600,36,5,2,
69,4,1270819800,40,2,1,
70,4,1338013800,35,19,39,
71,0,1338037200,35,21,44,
72,4,1347024600,41,3,5,
73,0,1359122400,42,10,0,
74,4,1369972800,43,3,0,
75,4,1373032800,44,4,0,
76,0,1292652000,45,2,77,
77,4,1300316400,3,2,343,
78,1,1303347600,46,3,88,
79,4,1307059200,47,8,110,
80,4,1307707200,47,11,270,
81,4,1308312000,47,13,476,
82,3,1368856800,48,7,70,
83,4,1368882000,49,7,31,
84,4,1368968400,50,3,19,
85,4,1395831600,51,4,10,
86,9,1395964800,26,30,351,
87,5,1471651200,52,11,4,
88,0,1472362200,53,4,6,
89,0,1472553000,54,4,49,
90,1,1472608800,55,8,74,
91,0,1472725800,56,11,69,
92,0,1472862600,57,7,8,
93,5,1473555600,58,7,2,
94,6,1478691000,12,3,10,
95,9,1478840400,59,3,3,
96,10,1478914200,60,1,1,
97,9,1478928600,61,11,42,
98,9,1479492000,62,1,3,
99,9,1479524400,26,1,7,
100,3,1479531600,63,2,1,
101,3,1479555000,20,15,27,
102,4,1479627000,64,15,3,
103,6,1479641400,65,2,1,
104,6,1479641400,66,5,19,
105,4,1479645000,34,12,26,
106,6,1482492600,67,3,4,
107,1,1264816800,68,7,5,
108,0,1317970800,21,2,293,
109,3,1319848200,69,5,12,
110,1,1341021600,70,3,140,
111,2,1344643200,71,3,3,
112,3,1369137600,72,3,9,
113,6,1385119800,73,10,21,
114,1,1389229200,74,7,201,
115,6,1406374200,67,22,12,
116,1,1431392400,69,5,0,
117,1,1433295000,75,26,180,
118,6,1435318200,67,43,12,
119,3,1442318400,72,7,1,
120,3,1445943600,72,7,1,
121,4,1450695600,69,11,25,
122,4,1460118600,76,61,9,
123,3,1471932000,69,5,0,
124,3,1474372800,72,2,0,
125,3,1476792000,72,5,0,
126,3,1477114200,69,2,0,
127,3,1481630400,72,1,0,
128,3,1482235200,72,2,2,
129,1,1482368400,77,2,4,
130,3,1482840000,72,3,2,
131,4,1483187400,71,1,0,
132,3,1492065000,69,3,1,
133,3,1492149600,69,5,1,
134,4,1261746000,78,2,27,
135,4,1273924800,79,1,28,
136,4,1275742800,80,3,11,
137,4,1281097800,81,4,168,
138,4,1287145800,82,18,326,
139,4,1288184400,64,41,218,
140,4,1290254400,5,17,172,
141,4,1290861000,5,17,280,
142,4,1307793600,83,2,107,
143,3,1310889600,84,2,63,
144,4,1319202000,85,3,73,
145,4,1325332800,86,2,92,
146,4,1328963400,87,6,144,
147,4,1331296200,88,7,170,
148,4,1332502200,89,8,93,
149,4,1335668400,90,2,178,
150,4,1335787200,82,33,100,
151,4,1335961800,82,36,150,
152,4,1336051800,91,5,15,
153,4,1339806600,92,3,240,
154,4,1343995200,93,3,69,
155,4,1300536000,94,13,89,
156,3,1304076600,20,13,642,
157,3,1305356400,20,18,637,
158,4,1310216400,95,21,86,
159,3,1323496800,21,10,564,
160,4,1335677400,96,2,214,
161,3,1301623200,97,2,100,
162,2,1318226400,98,2,172,
163,4,1322739000,99,2,190,
164,4,1337342400,99,2,77,
165,4,1349092800,99,3,213,
166,4,1349352000,99,6,309,
167,4,1351855800,100,3,13,
168,3,1353974400,101,3,69,
169,3,1356760800,101,14,38,
170,5,1358575200,101,18,88,
171,8,1367884800,101,14,213,
172,4,1372420800,83,4,74,
173,5,1373248800,101,4,52,
174,3,1381834800,101,4,90,
175,3,1385186400,101,6,104,
176,3,1395468000,101,5,46,
177,8,1411516800,101,5,46,
178,1,1470621600,102,6,24,
179,9,1471665600,103,56,148,
180,3,1477722600,104,2,19,
181,4,1490445000,76,5,4,
182,3,1303027200,20,12,384,
183,3,1303542000,20,11,435,
184,3,1304128800,21,2,89,
185,3,1305442800,20,19,659,
186,0,1322897400,21,8,490,
187,3,1332655200,21,5,343,
188,3,1315911600,105,77,100,
189,4,1333366200,106,2,14,
190,2,1336186800,107,2,89,
191,4,1339851600,108,2,141,
192,4,1343394000,109,3,55,
193,4,1350606600,109,4,88,
194,4,1362744000,110,7,276,
195,4,1369396800,1,3,98,
196,4,1397914200,111,7,129,
197,0,1424476800,112,8,23,
198,3,1304751600,68,8,14,
199,6,1309865400,24,10,252,
200,6,1310470200,24,10,406,
201,6,1320147000,24,7,135,
202,4,1321619400,5,20,89,
203,4,1333371600,113,2,146,
204,4,1431779400,88,5,34,
205,6,1234436400,114,16,39,
206,6,1291028400,115,2,93,
207,1,1296270000,116,4,133,
208,5,1298847600,117,4,197,
209,6,1299670200,24,14,306,
210,9,1354188600,118,18,1,
211,9,1354665600,103,18,21,
212,9,1359878400,119,42,27,
213,3,1362189600,19,8,2,
214,1,1384214400,61,15,2,
215,3,1427351400,75,18,4,
216,4,1330259400,47,4,287,
217,4,1341057600,30,24,70,
218,4,1341664200,82,47,77,
219,4,1342526400,82,37,174,
220,4,1350046800,82,60,141,
221,4,1350131400,30,20,80,
222,4,1350649800,82,62,168,
223,4,1350732600,30,26,126,
224,4,1350734400,82,59,200,
225,4,1350993600,82,65,244,
226,4,1351427400,82,54,235,
227,4,1351688400,82,54,268,
228,4,1351944000,82,51,335,
229,4,1352377800,5,26,47,
230,4,1352379600,30,26,131,
231,4,1352548800,82,43,387,
232,4,1353155400,30,26,95,
233,4,1353155400,5,28,90,
234,4,1354363200,5,23,193,
235,2,1354365000,30,20,108,
236,4,1355227200,82,38,103,
237,4,1355488200,82,41,141,
238,4,1355659200,82,39,144,
239,4,1356154200,82,36,184,
240,4,1356179400,30,17,69,
241,4,1356433200,82,43,192,
242,4,1356699600,30,20,109,
243,4,1357300800,5,28,135,
244,4,1357389000,30,17,117,
245,4,1357907400,82,45,187,
246,4,1358082000,30,24,144,
247,4,1359118800,30,28,236,
